"EVENTO","AREA/ZONA","CENTRO DE COSTO","ITEM","DESCRIPCION","NOTAS/OBSERVACIONES","IN-KIND?","AURORA 360?","QTY","UoM","CONTRATACION POR DIAS?","QTY DIAS","PRECIO UNITARIO","SUBTOTAL","VIA PRODUCTORA (AURORA 360)?","FEE INCL. EN COTIZACION?","FEE 20%","SUBTOTAL CON FEE","IVA","TOTAL","COTIZACION","IMAGEN DE REFERENCIA","PROVEEDOR","VALIDAR COSTO?","CONTRATAR APARTE?","COTIZACION LINK","EXENTO IVA?"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","MOBILIARIO","MESA METALICA + 2 SILLAS DEL LOBBY  DE ESEN PARA TAQUILLA CON MANTEL","","MOBILIARIO EN LOBBY DE LA ESEN A REUBICAR","SI","NO","1","JUEGO","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","MANTELERIA","MANTEL PARA MESA METALICA PARA TAQUILLA","","MANTELERIA SE MANDARA HACER PARA OBVIAR COSTOS ALTOS DE ALQUILER DE MANTELES.","NO","SI","1","UNIDAD","SI","2","3","6","SI","NO","1.2000000000000002","7.2","0.936","8.136000000000001","A4","","ALQUILERES EXPRESS","NO","NO","https://drive.google.com/file/d/1naOQex6vwh7_3M5kqpQdA6KqNa_5QJeJ/view","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","SEÑALETICA","ROTULO PARA MESA PARA TAQUILLA (60 × 20 cm)","","SE DEBERAN CONTRATAR CON UNA IMPRENTA DIRECTAMENTE PARA OBVIAR AGENCY FEE.","NO","NO","1","UNIDAD","NO","1","2","2","NO","NO","0","2","0.26","2.26","PENDING","","","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","FUN CAPITAL STAFF","SCANNING STAFF","","","NO","NO","2","PERSONA","SI","2","30","120","NO","NO","0","120","15.600000000000001","135.6","PROPUESTA DE VALOR FUN CAPITAL CAMILA.pdf","","FUN CAPITAL","NO","NO","https://drive.google.com/file/d/1qEZF5SMpdzAlxZ6Ounf4x2wmZWhtWROd/view?usp=sharing","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","FUN CAPITAL STAFF","TAQUILLA STAFF","PERSONAL DE FUN CAPITAL PARA VENTA IN-SITU (DAY 1 ONLY).","PUEDE NO REQUERIRSE. SE EVALUARA EN CONJUNTO CON MITTR.","NO","NO","1","PERSONA","SI","2","30","60","NO","NO","0","60","7.800000000000001","67.8","PROPUESTA DE VALOR FUN CAPITAL CAMILA.pdf","","FUN CAPITAL","NO","NO","https://drive.google.com/file/d/1qEZF5SMpdzAlxZ6Ounf4x2wmZWhtWROd/view?usp=sharing","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","VOLUNTARIOS","FOOT TRAFFIC MANAGERS","","","SI","NO","4","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","VOLUNTARIOS","QUEUE MANAGERS EXTERIORES","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","MOBILIARIO","UNIFILAS PARA RESTRINGIR PASO A AREAS","","","NO","SI","4","UNIDAD","SI","2","8","64","SI","SI","0","64","8.32","72.32","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","MOBILIARIO","UNIFILAS PARA QUEUE EXTERIOR","","","NO","SI","4","UNIDAD","SI","2","8","64","SI","SI","0","64","8.32","72.32","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","FUN CAPITAL STAFF","SCANNING STAFF","","","NO","NO","4","PERSONA","SI","2","30","240","NO","NO","0","240","31.200000000000003","271.2","PROPUESTA DE VALOR FUN CAPITAL CAMILA.pdf","","FUN CAPITAL","NO","NO","https://drive.google.com/file/d/1qEZF5SMpdzAlxZ6Ounf4x2wmZWhtWROd/view?usp=sharing","NO"
"MAIN EVENT","INGRESO 2 ""PRINCIPAL"" via GRADAS (DE PARQUEO O GRADAS PAREDON EXTERNO)","FUN CAPITAL STAFF","PULSERAS","PULSERAS PARA IDENTIFICAR TIPO DE TICKET/ACCESOS. SE ADQUIRIRAN VIA FUN CAPITAL COMO UNO DE SUS SERVICIOS.","","NO","NO","500","UNIDAD","NO","1","0.3","150","NO","NO","0","150","19.5","169.5","PROPUESTA DE VALOR FUN CAPITAL CAMILA.pdf","","FUN CAPITAL","NO","NO","https://drive.google.com/file/d/1qEZF5SMpdzAlxZ6Ounf4x2wmZWhtWROd/view?usp=sharing","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","UNIFILAS PARA QUEUE/REGISTRO INTERIOR","","","NO","SI","12","UNIDAD","SI","2","8","192","SI","SI","0","192","24.96","216.96","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","ADAPTADOR DE LETRERO PARA UNIFILAS PARA QUEUE/REGISTRO INTERIOR","","","NO","SI","6","UNIDAD","SI","2","50","600","SI","SI","0","600","78","678","A2 - AURORA 360","","AURORA 360","SI","SI","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
"MAIN EVENT","AREA DE REGISTRO @ LOBBY","MOBILIARIO","SILLAS PARA REGISTRO ESEN (PLASTICAS NEGRAS)","","","SI","NO","10","UNIDAD","SI","2","0","0","NO","NO","0","0","0","0","PROVEE ESEN","","ESEN","NO","NO","","NO"
